フレーム,X,Y,フレーム,ΔX,ΔY,,,X'',Y'',,X,Y,,,,,,,,
2,657,312,2,,,,,,,,10,-10,,,,,,,,
3,656,299,3,-1,-13,,,,,,,,,,,,,,,
4,656,288,4,0,-11,1,2,,,,,,,,,,,,,
5,656,281,5,0,-7,0,4,,,,,,,,,,,,,
6,655,280,6,-1,-1,-1,6,,,,,,,,,,,,,
7,657,279,7,2,-1,3,0,,,,,,,,,,,,,
8,655,286,8,-2,7,-4,8,,,,,,,,,,,,,
9,655,295,9,0,9,2,2,,,,,,,,,,,,,
10,655,306,10,0,11,0,2,,,,,,,,,,,,,
11,656,327,11,1,21,1,10,,,,,,,,,,,,,
13,756,294,13,100,-33,99,-54,1,1,,,,,,,,,,,
14,822,275,14,66,-19,-34,14,1,,,,,,,,,,,,
15,856,267,15,34,-8,-32,11,1,,,,,,,,,,,,
16,885,264,16,29,-3,-5,5,,,,,,,,,,,,,
17,913,266,17,28,2,-1,5,,,,,,,,,,,,,
18,929,269,18,16,3,-12,1,1,,,,,,,,,,,,
19,941,276,19,12,7,-4,4,,,サーブ着地,,,,,,,,,,
20,956,237,20,15,-39,3,-46,,1,,,,,,,,,,,
21,965,209,21,9,-28,-6,11,,,,,,,,,,,,,
22,974,185,22,9,-24,0,4,,,,,,,,,,,,,
23,982,161,23,8,-24,-1,0,,,,,,,,,,,,,
24,989,147,24,7,-14,-1,10,,,,,,,,,,,,,
25,994,136,25,5,-11,-2,3,,,打点,,,,,,,,,,
27,947,155,27,-47,19,-52,30,1,,,,,,,,,,,,
28,923,166,28,-24,11,23,-8,1,,,,,,,,,,,,
29,890,187,29,-33,21,-9,10,,,,,,,,,,,,,
30,864,208,30,-26,21,7,0,,,,,,,,,,,,,
31,863,203,31,-1,-5,25,-26,1,1,,,,,,,,,,,
32,805,262,32,-58,59,-57,64,1,,,,,,,,,,,,
33,774,296,33,-31,34,27,-25,1,1,,,,,,,,,,,
34,743,332,34,-31,36,0,2,,,,,,,,,,,,,
35,707,376,35,-36,44,-5,8,,,,,,,,,,,,,
36,676,409,36,-31,33,5,-11,,1,着地,,,,,サーブ着地点,,X,少,,
37,651,407,37,-25,-2,6,-35,,1,,,,,,,,Y,大,減る,着地後の上への変化が大きい
38,618,408,38,-33,1,-8,3,,,,,,,,,,,,,
39,596,412,39,-22,4,11,3,1,,,,,,,打点,,X,大,,
40,568,422,40,-28,10,-6,6,,,,,,,,,,Y,大,,
41,536,435,41,-32,13,-4,3,,,,,,,,,,そのあとボールが消えるこも多い,,,
42,507,453,42,-29,18,3,5,,,,,,,,,,,,,
43,480,475,43,-27,22,2,4,,,,,,,,,,,,,
44,457,497,44,-23,22,4,0,,,打点,,,,,,,,,,
45,522,417,45,65,-80,88,-102,1,1,,,,,,,,,,,
46,564,370,46,42,-47,-23,33,1,,,,,,,,,,,,
47,610,324,47,46,-46,4,1,,,,,,,,,,,,,
48,643,298,48,33,-26,-13,20,1,,,,,,,,,,,,
49,671,275,49,28,-23,-5,3,,,,,,,,,,,,,
50,701,254,50,30,-21,2,2,,,,,,,,,,,,,
51,721,243,51,20,-11,-10,10,,,,,,,,,,,,,
52,742,237,52,21,-6,1,5,,,,,,,,,,,,,
53,763,229,53,21,-8,0,-2,,,,,,,,,,,,,
54,779,229,54,16,0,-5,8,,,,,,,,,,,,,
55,792,228,55,13,-1,-3,-1,,,,,,,,,,,,,
56,808,227,56,16,-1,3,0,,,着地,,,,,,,,,,
57,817,210,57,9,-17,-7,-16,,1,,,,,,,,,,,
60,843,167,60,26,-43,17,-26,1,1,,,,,,,,,,,
61,849,161,61,6,-6,-20,37,1,,,,,,,,,,,,
62,843,162,62,-6,1,-12,7,1,,打点,,,,,,,,,,
66,795,208,66,-48,46,-42,45,1,,,,,,,,,,,,
67,785,228,67,-10,20,38,-26,1,1,,,,,,,,,,,
68,770,259,68,-15,31,-5,11,,,,,,,,,,,,,
69,758,285,69,-12,26,3,-5,,,,,,,,,,,,,
70,749,317,70,-9,32,3,6,,,,,,,,,,,,,
71,733,363,71,-16,46,-7,14,,,,,,,,,,,,,
72,720,406,72,-13,43,3,-3,,,,,,,,,,,,,
73,709,452,73,-11,46,2,3,,,着地,,,,,,,,,,
74,697,460,74,-12,8,-1,-38,,1,,,,,,,,,,,
75,686,463,75,-11,3,1,-5,,,,,,,,,,,,,
76,678,470,76,-8,7,3,4,,,,,,,,,,,,,
77,663,492,77,-15,22,-7,15,,,,,,,,,,,,,
78,652,512,78,-11,20,4,-2,,,,,,,,,,,,,
79,640,537,79,-12,25,-1,5,,,打点,,,,,,,,,,
80,669,460,80,29,-77,41,-102,1,1,,,,,,,,,,,
81,689,408,81,20,-52,-9,25,,,,,,,,,,,,,
82,706,365,82,17,-43,-3,9,,,,,,,,,,,,,
83,727,322,83,21,-43,4,0,,,,,,,,,,,,,
84,741,295,84,14,-27,-7,16,,,,,,,,,,,,,
85,753,274,85,12,-21,-2,6,,,,,,,,,,,,,
86,768,257,86,15,-17,3,4,,,,,,,,,,,,,
87,774,244,87,6,-13,-9,4,,,,,,,,,,,,,
88,784,238,88,10,-6,4,7,,,,,,,,,,,,,
89,793,229,89,9,-9,-1,-3,,,,,,,,,,,,,
90,800,228,90,7,-1,-2,8,,,,,,,,,,,,,
91,805,228,91,5,0,-2,1,,,,,,,,,,,,,
92,815,230,92,10,2,5,2,,,,,,,,,,,,,
93,818,226,93,3,-4,-7,-6,,,着地,,,,,,,,,,
94,824,207,94,6,-19,3,-15,,1,,,,,,,,,,,
95,826,189,95,2,-18,-4,1,,,,,,,,,,,,,
96,830,177,96,4,-12,2,6,,,,,,,,,,,,,
97,834,169,97,4,-8,0,4,,,,,,,,,,,,,
98,836,162,98,2,-7,-2,1,,,打点,,,,,,,,,,
99,821,171,99,-15,9,-17,16,1,,,,,,,,,,,,
100,808,182,100,-13,11,2,2,,,,,,,,,,,,,
101,790,202,101,-18,20,-5,9,,,,,,,,,,,,,
102,774,221,102,-16,19,2,-1,,,,,,,,,,,,,
103,759,243,103,-15,22,1,3,,,,,,,,,,,,,
104,737,276,104,-22,33,-7,11,,,,,,,,,,,,,
105,731,297,105,-6,21,16,-12,1,1,,,,,,,,,,,
106,725,311,106,-6,14,0,-7,,,,,,,,,,,,,
107,719,327,107,-6,16,0,2,,,ネット,,,,,,,,,,
108,716,311,108,-3,-16,3,-32,,1,,,,,,,,,,,
109,714,297,109,-2,-14,1,2,,,,,,,,,,,,,
110,711,281,110,-3,-16,-1,-2,,,,,,,,,,,,,
111,708,271,111,-3,-10,0,6,,,,,,,,,,,,,
112,706,266,112,-2,-5,1,5,,,,,,,,,,,,,
113,704,261,113,-2,-5,0,0,,,,,,,,,,,,,
114,702,259,114,-2,-2,0,3,,,,,,,,,,,,,
115,700,260,115,-2,1,0,3,,,,,,,,,,,,,
116,698,264,116,-2,4,0,3,,,,,,,,,,,,,
117,697,268,117,-1,4,1,0,,,,,,,,,,,,,
118,694,274,118,-3,6,-2,2,,,,,,,,,,,,,
119,693,286,119,-1,12,2,6,,,,,,,,,,,,,
120,692,299,120,-1,13,0,1,,,,,,,,,,,,,
121,689,290,121,-3,-9,-2,-22,,1,,,,,,,,,,,
122,768,438,122,79,148,82,157,1,,,,,,,,,,,,
123,685,267,123,-83,-171,-162,-319,1,1,,,,,,,,,,,
124,685,263,124,0,-4,83,167,1,,,,,,,,,,,,
125,682,257,125,-3,-6,-3,-2,,,,,,,,,,,,,
126,682,256,126,0,-1,3,5,,,,,,,,,,,,,
127,680,256,127,-2,0,-2,1,,,,,,,,,,,,,
128,677,260,128,-3,4,-1,4,,,,,,,,,,,,,
129,676,264,129,-1,4,2,0,,,,,,,,,,,,,
130,677,271,130,1,7,2,3,,,,,,,,,,,,,
