,index,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback,direction,Server,Returner,Game,winner,ballx_f,bally_f,playerAx_f,playerAy_f,playerBx_f,playerBy_f,hitplayer_x,hitplayer_y,waitplayer_x,waitplayer_y,nth
7,7,4,2307.0,2.14,-2.55,3.65,-2.55,4.4,26.28,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,0-0,Nishioka,-3.345,-14.440000000000001,-1.8350000000000004,-14.440000000000001,-1.085,14.39,-1.8350000000000004,-14.440000000000001,-1.085,14.39,3
11,11,4,2389.0,1.43,0.06,2.78,0.06,6.56,25.93,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,0-0,Nishioka,-4.055000000000001,-11.83,-2.7050000000000005,-11.83,1.0749999999999993,14.04,-2.7050000000000005,-11.83,1.0749999999999993,14.04,7
15,15,4,2465.0,8.75,-1.97,7.43,-1.97,6.04,24.53,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,0-0,Nishioka,3.2649999999999997,-13.860000000000001,1.9449999999999994,-13.860000000000001,0.5549999999999997,12.64,1.9449999999999994,-13.860000000000001,0.5549999999999997,12.64,11
19,19,4,2566.0,10.76,-2.09,8.91,-2.09,4.73,25.18,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,0-0,Nishioka,5.2749999999999995,-13.98,3.425,-13.98,-0.7549999999999999,13.29,3.425,-13.98,-0.7549999999999999,13.29,15
23,23,6,3570.0,0.73,-0.93,2.36,-0.93,9.5,22.96,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,0-0,Nishioka,-4.755000000000001,-12.82,-3.1250000000000004,-12.82,4.015,11.07,-3.1250000000000004,-12.82,4.015,11.07,3
27,27,8,4559.0,8.35,-1.35,7.06,-1.35,5.19,25.72,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,0-0,Nakashima,2.8649999999999993,-13.24,1.5749999999999993,-13.24,-0.29499999999999993,13.829999999999998,1.5749999999999993,-13.24,-0.29499999999999993,13.829999999999998,3
31,31,8,4649.0,9.59,-2.17,8.44,-2.17,5.12,25.67,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,0-0,Nakashima,4.1049999999999995,-14.06,2.954999999999999,-14.06,-0.3650000000000002,13.780000000000001,2.954999999999999,-14.06,-0.3650000000000002,13.780000000000001,7
39,39,10,6513.0,1.15,24.38,6.01,-3.18,2.95,24.38,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,1-0,Nishioka,-4.335000000000001,12.489999999999998,0.5249999999999995,-15.07,-2.535,12.489999999999998,-2.535,12.489999999999998,0.5249999999999995,-15.07,5
45,45,11,7067.0,5.75,24.91,6.09,-3.32,4.67,24.91,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,1-0,Nakashima,0.2649999999999997,13.02,0.6049999999999995,-15.21,-0.8150000000000004,13.02,-0.8150000000000004,13.02,0.6049999999999995,-15.21,5
49,49,11,7151.0,1.91,25.58,6.05,-3.46,3.5,25.58,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,1-0,Nakashima,-3.575,13.689999999999998,0.5649999999999995,-15.350000000000001,-1.9850000000000003,13.689999999999998,-1.9850000000000003,13.689999999999998,0.5649999999999995,-15.350000000000001,9
53,53,11,7232.0,2.04,25.22,6.83,-3.38,3.37,25.22,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,1-0,Nakashima,-3.4450000000000003,13.329999999999998,1.3449999999999998,-15.27,-2.115,13.329999999999998,-2.115,13.329999999999998,1.3449999999999998,-15.27,13
57,57,11,7318.0,8.39,24.31,5.13,-3.81,6.9,24.31,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,1-0,Nakashima,2.9050000000000002,12.419999999999998,-0.3550000000000004,-15.700000000000001,1.415,12.419999999999998,1.415,12.419999999999998,-0.3550000000000004,-15.700000000000001,17
61,61,11,7407.0,3.34,25.42,5.19,-2.28,4.2,25.42,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,1-0,Nakashima,-2.1450000000000005,13.530000000000001,-0.29499999999999993,-14.17,-1.2850000000000001,13.530000000000001,-1.2850000000000001,13.530000000000001,-0.29499999999999993,-14.17,21
