,index,StartFrame,EndFrame,Set,Game,Score,ScoreResult,FirstSecond,Server,PointWinner,PointWinA,PointWinB,PointPattern,Fault,ContactServeX,ContactServeY,Court1X,Court1Y,Court2X,Court2Y,Court3X,Court3Y,Court4X,Court4Y
0,0,555,692,0-0,0-0,0-0,0-15,1,Tsitsipas,Nishikori,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
1,1,1198,1427,0-0,0-0,0-15,15-15,1,Tsitsipas,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
2,2,1843,2164,0-0,0-0,15-15,15-30,1,Tsitsipas,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
3,3,2854,3022,0-0,0-0,15-30,30-30,1,Tsitsipas,Tsitsipas,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
4,4,3548,3662,0-0,0-0,30-30,40-30,1,Tsitsipas,Tsitsipas,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
5,5,4095,4237,0-0,0-0,30-40,0-0,1,Tsitsipas,Tsitsipas,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
6,6,5931,6037,0-0,0-1,0-0,,1,Nishikori,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
7,7,6236,6386,0-0,0-1,0-0,15-0,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
8,8,6953,7320,0-0,0-1,15-0,15-15,1,Nishikori,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
9,9,7952,8050,0-0,0-1,15-15,,1,Nishikori,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
10,10,8355,8888,0-0,0-1,15-15,30-15,1,Nishikori,Tsitsipas,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
11,11,9663,9794,0-0,0-1,15-30,,1,Nishikori,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
12,12,10069,10246,0-0,0-1,15-30,40-15,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
13,13,11166,11291,0-0,0-1,15-40,,1,Nishikori,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
14,14,11576,11821,0-0,0-1,15-40,0-0,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
15,15,12824,13002,0-0,0-2,0-0,15-0,1,Tsitsipas,Tsitsipas,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
16,16,13497,13603,0-0,0-2,0-15,30-0,1,Tsitsipas,Tsitsipas,1,0,サービスエース,0,0,0,0,0,0,0,0,0,0,0
17,17,14029,14140,0-0,0-2,0-30,30-15,1,Tsitsipas,Nishikori,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
18,18,15153,15398,0-0,0-2,15-30,,1,Nishikori,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
19,19,15394,15694,0-0,0-2,15-30,15-0,1,Tsitsipas,Tsitsipas,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
