,index,Frame,HitBounce,X_Ball,Y_Ball
0,0,123,Back_Bounce,935,196
1,1,141,Back_Bounce,860,151
2,2,199,Back_Bounce,631,218
3,3,223,Back_Bounce,735,150
4,4,277,Back_Bounce,937,209
5,5,281,Back_Bounce,929,172
6,6,310,Back_Bounce,766,189
7,7,358,Back_Bounce,763,286
8,8,385,Back_Bounce,716,339
9,9,402,Back_Bounce,685,345
10,10,683,Back_Bounce,1032,39
11,11,817,Back_Bounce,664,298
12,12,832,Back_Bounce,667,321
13,13,847,Back_Bounce,928,241
14,14,869,Back_Bounce,841,193
15,15,1052,Back_Bounce,655,316
16,16,1067,Back_Bounce,928,268
17,17,1088,Back_Bounce,907,176
18,18,1144,Back_Bounce,811,221
19,19,1156,Back_Bounce,838,164
20,20,1217,Back_Bounce,818,226
21,21,1229,Back_Bounce,822,171
22,22,1247,Back_Bounce,716,311
23,23,1292,Back_Bounce,675,276
24,24,1853,Back_Bounce,1135,299
25,25,1867,Back_Bounce,641,259
26,26,1882,Back_Bounce,494,145
27,27,1939,Back_Bounce,814,230
28,28,1966,Back_Bounce,745,215
29,29,2021,Back_Bounce,890,229
30,30,2044,Back_Bounce,834,189
31,31,2095,Back_Bounce,860,238
32,32,2101,Back_Bounce,896,188
33,33,2119,Back_Bounce,842,214
34,34,2157,Back_Bounce,731,283
35,35,2585,Back_Bounce,692,281
36,36,2600,Back_Bounce,924,239
37,37,2624,Back_Bounce,980,166
38,38,2680,Back_Bounce,628,178
39,39,2704,Back_Bounce,545,173
40,40,2755,Back_Bounce,828,240
41,41,2789,Back_Bounce,761,200
42,42,2839,Back_Bounce,826,295
43,43,2866,Back_Bounce,891,342
44,44,2883,Back_Bounce,931,343
45,45,3376,Back_Bounce,832,315
46,46,3386,Back_Bounce,730,258
47,47,3473,Back_Bounce,538,272
48,48,3499,Back_Bounce,524,264
49,49,3897,Back_Bounce,696,324
50,50,3904,Back_Bounce,898,275
51,51,3934,Back_Bounce,1142,171
52,52,3976,Back_Bounce,1211,256
53,53,4026,Back_Bounce,1181,306
54,54,4058,Back_Bounce,1108,343
55,55,4064,Back_Bounce,1095,341
56,56,4206,Back_Bounce,644,311
57,57,4224,Back_Bounce,937,248
58,58,4297,Back_Bounce,604,199
59,59,4325,Back_Bounce,578,110
60,60,4377,Back_Bounce,864,221
61,61,4391,Back_Bounce,887,143
62,62,4398,Back_Bounce,799,181
63,63,4443,Back_Bounce,546,285
64,64,4455,Back_Bounce,520,285
65,65,5951,Back_Bounce,845,179
66,66,5965,Back_Bounce,790,197
67,67,5972,Back_Bounce,751,209
68,68,5982,Back_Bounce,719,225
69,69,6026,Back_Bounce,735,186
70,70,6112,Back_Bounce,841,323
71,71,6129,Back_Bounce,578,252
72,72,6142,Back_Bounce,479,113
73,73,6214,Back_Bounce,864,58
74,74,6270,Back_Bounce,837,83
75,75,6281,Back_Bounce,839,136
76,76,6805,Back_Bounce,637,318
77,77,6822,Back_Bounce,931,242
78,78,6840,Back_Bounce,959,134
79,79,6846,Back_Bounce,937,170
80,80,7135,Back_Bounce,625,337
81,81,7153,Back_Bounce,917,265
82,82,7173,Back_Bounce,989,107
83,83,7185,Back_Bounce,922,138
84,84,7246,Back_Bounce,902,217
85,85,7259,Back_Bounce,890,155
86,86,7321,Back_Bounce,810,232
87,87,7338,Back_Bounce,833,158
88,88,7404,Back_Bounce,914,195
89,89,7411,Back_Bounce,945,136
90,90,7420,Back_Bounce,868,169
91,91,7480,Back_Bounce,800,208
92,92,7498,Back_Bounce,799,152
93,93,7557,Back_Bounce,940,217
94,94,7567,Back_Bounce,979,139
95,95,7575,Back_Bounce,895,175
96,96,7626,Back_Bounce,820,239
97,97,7642,Back_Bounce,862,150
98,98,7647,Back_Bounce,816,165
99,99,7702,Back_Bounce,920,218
100,100,7712,Back_Bounce,970,145
101,101,7722,Back_Bounce,839,191
102,102,7780,Back_Bounce,784,227
103,103,7797,Back_Bounce,814,161
104,104,7879,Back_Bounce,993,219
105,105,7903,Back_Bounce,797,210
106,106,8192,Back_Bounce,648,95
107,107,8710,Back_Bounce,866,323
108,108,8730,Back_Bounce,531,237
109,109,8753,Back_Bounce,409,92
110,110,8783,Back_Bounce,451,137
111,111,8805,Back_Bounce,459,146
112,112,8818,Back_Bounce,465,137
113,113,8825,Back_Bounce,469,145
114,114,8863,Back_Bounce,776,76
115,115,9132,Back_Bounce,830,320
116,116,9151,Back_Bounce,691,252
117,117,9168,Back_Bounce,637,126
118,118,9220,Back_Bounce,790,318
119,119,9242,Back_Bounce,770,347
120,120,9253,Back_Bounce,765,341
121,121,9297,Back_Bounce,748,291
122,122,9868,Back_Bounce,650,319
123,123,9885,Back_Bounce,972,235
124,124,9915,Back_Bounce,1004,140
125,125,10216,Back_Bounce,630,319
126,126,10234,Back_Bounce,811,248
127,127,10255,Back_Bounce,831,112
128,128,10312,Back_Bounce,641,197
129,129,10324,Back_Bounce,637,116
130,130,10425,Back_Bounce,1018,326
131,131,10434,Back_Bounce,1031,326
132,132,10439,Back_Bounce,1041,326
133,133,10445,Back_Bounce,1050,327
134,134,11172,Back_Bounce,836,313
135,135,11190,Back_Bounce,696,220
136,136,11211,Back_Bounce,658,153
137,137,11330,Back_Bounce,788,58
138,138,11571,Back_Bounce,821,324
139,139,11585,Back_Bounce,640,241
140,140,11591,Back_Bounce,581,246
141,141,11653,Back_Bounce,692,197
142,142,11664,Back_Bounce,585,206
143,143,11682,Back_Bounce,541,156
144,144,11701,Back_Bounce,574,318
145,145,11754,Back_Bounce,685,263
