,StartFrame,EndFrame
0,555,692
1,718,719
2,722,722
3,724,724
4,726,726
5,1198,1427
6,1843,2164
7,2540,2591
8,2593,2673
9,2675,2678
10,2683,2683
11,2687,2694
12,2696,2704
13,2854,3022
14,3367,3367
15,3548,3662
16,4095,4237
17,5931,6037
18,6236,6386
19,6953,7320
20,7952,8050
21,8355,8888
22,9663,9794
23,10069,10246
24,11166,11291
25,11576,11821
26,12824,13002
27,13497,13603
28,14029,14140
29,15153,15694
30,16353,16414
31,20004,20303
32,20525,20608
33,20640,20643
34,20655,20658
35,20861,20995
36,21501,21780
37,22388,22513
38,22721,23303
39,23478,23478
40,23480,23480
41,23482,23489
42,23491,23491
43,23657,23657
44,23659,23659
45,23661,23683
46,23685,23685
47,23687,23687
48,24152,24154
49,24170,24174
50,24184,24184
51,24186,24186
52,24188,24192
53,24208,24210
54,24224,24228
55,24232,24234
56,24242,24246
57,24260,24262
58,25110,25220
59,25685,25784
60,26202,26612
61,27080,27179
62,27533,27550
63,31188,31302
64,31520,31672
65,32263,32454
66,32941,33076
67,33289,33501
68,34010,34238
69,34472,34482
70,34489,34504
71,34977,35152
72,36156,36275
73,36697,36942
74,36955,36972
75,37571,37841
76,38377,38615
77,39260,39366
78,39527,40117
79,40974,40975
80,41049,41057
81,41068,41077
82,41161,41173
83,41236,41236
84,41257,41262
85,41318,41319
86,41331,41344
87,41386,41386
88,41391,41392
89,41409,41412
90,41416,41422
91,44829,45376
92,45386,45386
93,45391,45392
94,45422,45470
95,46181,46421
96,47008,47125
97,47370,47785
98,48220,48221
99,48799,49177
100,49905,50242
101,50998,51201
102,52230,52825
103,52913,52913
104,52915,52918
105,53011,53017
106,53082,53089
107,53112,53180
108,53212,53249
109,53273,53286
110,53583,53719
111,53863,53992
112,54106,54111
113,54148,54160
114,54478,54583
115,54678,54678
116,54702,54702
117,54705,54733
118,55041,55185
119,60542,60579
120,60821,61016
121,61562,61697
122,62129,62224
123,62531,62652
124,63051,63207
125,63240,63240
126,63726,64028
127,64809,65025
128,65261,65264
129,65267,65273
130,65329,65331
131,65336,65337
132,65370,65370
133,65395,65398
134,65410,65416
135,65685,65953
136,66632,67355
137,67780,67792
138,67891,67891
139,67913,67914
140,68024,68035
141,68192,68326
142,68979,69127
143,69232,69232
144,69648,70151
145,71985,72225
146,72818,72933
147,73384,73502
148,73633,74115
149,75034,75398
150,78789,78915
151,79128,79657
152,80372,80581
153,81265,81377
154,81653,82169
155,83066,83296
156,84065,84174
157,84544,85109
158,85912,86062
159,86785,86919
160,87435,87902
161,88671,88814
162,89427,89634
163,89930,89946
164,90032,90037
165,90552,90788
166,91468,91772
167,92542,92757
168,96678,96838
169,97145,97145
170,97173,97190
171,97394,97650
172,98155,98281
173,99023,99181
174,100170,100371
175,100999,101127
176,101596,101688
177,101735,101735
178,101956,102933
179,103196,103197
180,103280,103303
181,103309,103309
182,103449,103452
183,103477,103477
184,103970,104085
185,104712,104828
186,105150,105339
187,105928,106047
188,109894,110024
189,110160,110674
190,110804,110806
191,111242,111373
192,111813,111911
193,112296,112396
194,113467,113753
195,114080,114082
196,114129,114129
197,114390,114620
198,115231,115434
199,115641,115644
200,115970,116321
201,117145,117365
202,117985,118449
203,118797,118821
204,118843,118843
205,118882,118882
206,118891,118891
207,118928,118928
208,118986,118986
209,118999,118999
210,119004,119006
211,119018,119019
212,119777,119777
213,123780,123919
214,124346,124441
215,124861,125140
216,125642,125737
217,126789,126932
218,127085,127852
219,128521,128695
220,129259,129450
221,129959,130076
222,130188,130292
223,130564,130917
224,131607,131762
225,132034,132309
226,133077,133191
227,133411,134380
228,137800,137805
229,137845,137848
230,137868,137883
231,137946,137948
232,138001,138001
233,138036,138036
234,142180,142662
235,142898,142899
236,142914,142924
237,142966,142970
238,142999,143000
239,143260,143377
240,143567,143750
241,143833,143835
242,144221,144340
243,144480,144739
244,145561,145694
245,145801,146097
246,146745,146844
247,147271,147379
248,147514,147825
249,148565,148682
250,148829,148949
251,149407,149687
252,149818,149927
253,150945,150950
254,150952,150960
255,150962,150966
256,150969,150971
257,151774,151960
258,152534,152645
259,152903,153293
260,153976,154235
261,155108,155221
262,155458,156045
263,156940,157050
264,157303,157661
265,158536,158674
266,159420,159543
267,159738,160012
268,160708,160825
269,160990,161743
270,162002,162011
271,162073,162073
272,162164,162174
273,162309,162310
274,162467,162486
275,162514,162542
276,162730,162957
277,163774,164074
278,164784,164907
279,165252,165505
280,166100,166301
281,166941,167165
282,167356,167772
283,168513,168680
284,169935,170068
285,170200,170450
286,171069,171316
287,171899,172030
288,172167,172615
289,172800,172801
290,172824,172825
291,172827,172834
292,172933,172939
293,172944,172945
294,172948,172952
295,172985,172987
296,173008,173025
297,173604,173769
298,174385,174506
299,174650,175030
300,175953,176377
301,179544,179546
302,180766,180889
303,181168,181464
304,182200,182443
305,182723,182724
306,182727,182729
307,182747,182748
308,182761,182761
309,182763,182765
310,182827,182829
311,182993,183482
312,183697,183699
313,183726,183729
314,183807,183808
315,183887,183887
316,184360,184474
317,184711,185311
318,186057,186304
319,187255,187383
320,187524,187728
321,188208,188338
322,188502,188628
323,189263,189379
324,189551,189734
325,190316,190449
326,190929,191067
327,191219,191336
328,196056,196475
329,197230,197382
330,197566,197833
331,198620,198806
332,199543,199731
333,199867,200436
334,201361,201468
335,201657,202349
336,203370,203562
337,204410,204944
338,205749,205916
339,206858,207020
340,207499,207920
341,208507,208607
342,209134,215998
