,Unnamed: 0,index,Frame,HitBounce,X_Ball,Y_Ball,X_Ball_onC,Y_Ball_onC,X_A_onC,Y_A_onC,X_B_onC,Y_B_onC,X1,Y1,X2,Y2,X3,Y3,X4,Y4
0,0,0,484,Back_Hit,710,231,,,,,,,,,,,,,,
1,1,0,504,Front_Hit,640,602,,,,,,,,,,,,,,
2,2,1,570,Front_Hit,1013,711,2.9349999999999996,12.05,-0.45500000000000007,-12.67,1.585,14.669999999999998,1023,223,496,226,284,705,1234,705
3,3,2,570,Front_Hit,1013,711,2.9349999999999996,12.05,-0.45500000000000007,-12.67,1.585,14.669999999999998,1023,223,496,226,284,705,1234,705
4,4,2,605,Back_Hit,697,182,-1.3950000000000005,-16.130000000000003,-0.27500000000000036,-13.23,1.1549999999999994,14.14,1023,224,496,227,284,705,1234,704
5,5,34,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
6,6,28,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
7,7,22,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
8,8,20,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
9,9,30,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
10,10,18,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
11,11,32,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
12,12,16,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
13,13,24,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
14,14,26,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
15,15,4,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
16,16,12,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
17,17,36,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
18,18,10,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
19,19,3,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
20,20,8,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
21,21,38,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
22,22,6,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
23,23,14,647,Front_Hit,1384,823,6.464999999999999,14.879999999999999,-0.04499999999999993,-12.57,3.204999999999999,14.68,1023,223,496,226,283,705,1235,702
24,24,1,681,Back_Hit,426,96,-8.845,-26.75,0.835,-12.51,4.534999999999999,15.059999999999999,1023,224,495,226,283,705,1231,700
25,25,4,685,Back_Hit,421,95,-8.995000000000001,-26.91,0.9749999999999996,-12.690000000000001,4.6049999999999995,15.04,1022,224,495,226,284,705,1231,700
26,26,5,699,Front_Hit,605,742,,,,,,,,,,,,,,
27,27,5,723,Back_Hit,905,12,,,,,,,,,,,,,,
28,28,3,723,Back_Hit,905,12,,,,,,,,,,,,,,
29,29,6,723,Back_Hit,905,12,,,,,,,,,,,,,,
30,30,7,869,Front_Hit,298,755,,,,,,,,,,,,,,
31,31,226,902,Back_Hit,819,8,,,,,,,,,,,,,,
32,32,228,902,Back_Hit,819,8,,,,,,,,,,,,,,
33,33,230,902,Back_Hit,819,8,,,,,,,,,,,,,,
34,34,232,902,Back_Hit,819,8,,,,,,,,,,,,,,
35,35,234,902,Back_Hit,819,8,,,,,,,,,,,,,,
36,36,236,902,Back_Hit,819,8,,,,,,,,,,,,,,
37,37,238,902,Back_Hit,819,8,,,,,,,,,,,,,,
38,38,240,902,Back_Hit,819,8,,,,,,,,,,,,,,
39,39,244,902,Back_Hit,819,8,,,,,,,,,,,,,,
40,40,246,902,Back_Hit,819,8,,,,,,,,,,,,,,
41,41,248,902,Back_Hit,819,8,,,,,,,,,,,,,,
42,42,250,902,Back_Hit,819,8,,,,,,,,,,,,,,
43,43,252,902,Back_Hit,819,8,,,,,,,,,,,,,,
44,44,254,902,Back_Hit,819,8,,,,,,,,,,,,,,
45,45,256,902,Back_Hit,819,8,,,,,,,,,,,,,,
46,46,242,902,Back_Hit,819,8,,,,,,,,,,,,,,
47,47,224,902,Back_Hit,819,8,,,,,,,,,,,,,,
48,48,220,902,Back_Hit,819,8,,,,,,,,,,,,,,
49,49,218,902,Back_Hit,819,8,,,,,,,,,,,,,,
50,50,7,902,Back_Hit,819,8,,,,,,,,,,,,,,
51,51,8,902,Back_Hit,819,8,,,,,,,,,,,,,,
52,52,10,902,Back_Hit,819,8,,,,,,,,,,,,,,
53,53,12,902,Back_Hit,819,8,,,,,,,,,,,,,,
54,54,258,902,Back_Hit,819,8,,,,,,,,,,,,,,
55,55,14,902,Back_Hit,819,8,,,,,,,,,,,,,,
56,56,16,902,Back_Hit,819,8,,,,,,,,,,,,,,
57,57,18,902,Back_Hit,819,8,,,,,,,,,,,,,,
58,58,20,902,Back_Hit,819,8,,,,,,,,,,,,,,
59,59,206,902,Back_Hit,819,8,,,,,,,,,,,,,,
60,60,208,902,Back_Hit,819,8,,,,,,,,,,,,,,
61,61,210,902,Back_Hit,819,8,,,,,,,,,,,,,,
62,62,212,902,Back_Hit,819,8,,,,,,,,,,,,,,
63,63,214,902,Back_Hit,819,8,,,,,,,,,,,,,,
64,64,216,902,Back_Hit,819,8,,,,,,,,,,,,,,
65,65,222,902,Back_Hit,819,8,,,,,,,,,,,,,,
66,66,260,902,Back_Hit,819,8,,,,,,,,,,,,,,
67,67,284,902,Back_Hit,819,8,,,,,,,,,,,,,,
68,68,264,902,Back_Hit,819,8,,,,,,,,,,,,,,
69,69,312,902,Back_Hit,819,8,,,,,,,,,,,,,,
70,70,314,902,Back_Hit,819,8,,,,,,,,,,,,,,
71,71,316,902,Back_Hit,819,8,,,,,,,,,,,,,,
72,72,318,902,Back_Hit,819,8,,,,,,,,,,,,,,
73,73,320,902,Back_Hit,819,8,,,,,,,,,,,,,,
74,74,322,902,Back_Hit,819,8,,,,,,,,,,,,,,
75,75,324,902,Back_Hit,819,8,,,,,,,,,,,,,,
76,76,326,902,Back_Hit,819,8,,,,,,,,,,,,,,
77,77,328,902,Back_Hit,819,8,,,,,,,,,,,,,,
78,78,330,902,Back_Hit,819,8,,,,,,,,,,,,,,
79,79,332,902,Back_Hit,819,8,,,,,,,,,,,,,,
80,80,334,902,Back_Hit,819,8,,,,,,,,,,,,,,
81,81,336,902,Back_Hit,819,8,,,,,,,,,,,,,,
82,82,338,902,Back_Hit,819,8,,,,,,,,,,,,,,
83,83,340,902,Back_Hit,819,8,,,,,,,,,,,,,,
84,84,342,902,Back_Hit,819,8,,,,,,,,,,,,,,
85,85,344,902,Back_Hit,819,8,,,,,,,,,,,,,,
86,86,346,902,Back_Hit,819,8,,,,,,,,,,,,,,
87,87,348,902,Back_Hit,819,8,,,,,,,,,,,,,,
88,88,310,902,Back_Hit,819,8,,,,,,,,,,,,,,
89,89,262,902,Back_Hit,819,8,,,,,,,,,,,,,,
90,90,308,902,Back_Hit,819,8,,,,,,,,,,,,,,
91,91,304,902,Back_Hit,819,8,,,,,,,,,,,,,,
92,92,266,902,Back_Hit,819,8,,,,,,,,,,,,,,
93,93,268,902,Back_Hit,819,8,,,,,,,,,,,,,,
94,94,270,902,Back_Hit,819,8,,,,,,,,,,,,,,
95,95,272,902,Back_Hit,819,8,,,,,,,,,,,,,,
96,96,274,902,Back_Hit,819,8,,,,,,,,,,,,,,
97,97,276,902,Back_Hit,819,8,,,,,,,,,,,,,,
98,98,278,902,Back_Hit,819,8,,,,,,,,,,,,,,
99,99,280,902,Back_Hit,819,8,,,,,,,,,,,,,,
100,100,282,902,Back_Hit,819,8,,,,,,,,,,,,,,
101,101,22,902,Back_Hit,819,8,,,,,,,,,,,,,,
102,102,286,902,Back_Hit,819,8,,,,,,,,,,,,,,
103,103,288,902,Back_Hit,819,8,,,,,,,,,,,,,,
104,104,290,902,Back_Hit,819,8,,,,,,,,,,,,,,
105,105,292,902,Back_Hit,819,8,,,,,,,,,,,,,,
106,106,294,902,Back_Hit,819,8,,,,,,,,,,,,,,
107,107,296,902,Back_Hit,819,8,,,,,,,,,,,,,,
108,108,298,902,Back_Hit,819,8,,,,,,,,,,,,,,
109,109,300,902,Back_Hit,819,8,,,,,,,,,,,,,,
110,110,302,902,Back_Hit,819,8,,,,,,,,,,,,,,
111,111,306,902,Back_Hit,819,8,,,,,,,,,,,,,,
112,112,24,902,Back_Hit,819,8,,,,,,,,,,,,,,
113,113,48,902,Back_Hit,819,8,,,,,,,,,,,,,,
114,114,28,902,Back_Hit,819,8,,,,,,,,,,,,,,
115,115,156,902,Back_Hit,819,8,,,,,,,,,,,,,,
116,116,154,902,Back_Hit,819,8,,,,,,,,,,,,,,
117,117,152,902,Back_Hit,819,8,,,,,,,,,,,,,,
118,118,150,902,Back_Hit,819,8,,,,,,,,,,,,,,
119,119,148,902,Back_Hit,819,8,,,,,,,,,,,,,,
120,120,146,902,Back_Hit,819,8,,,,,,,,,,,,,,
121,121,144,902,Back_Hit,819,8,,,,,,,,,,,,,,
122,122,142,902,Back_Hit,819,8,,,,,,,,,,,,,,
123,123,158,902,Back_Hit,819,8,,,,,,,,,,,,,,
124,124,140,902,Back_Hit,819,8,,,,,,,,,,,,,,
125,125,136,902,Back_Hit,819,8,,,,,,,,,,,,,,
126,126,134,902,Back_Hit,819,8,,,,,,,,,,,,,,
127,127,132,902,Back_Hit,819,8,,,,,,,,,,,,,,
128,128,130,902,Back_Hit,819,8,,,,,,,,,,,,,,
129,129,128,902,Back_Hit,819,8,,,,,,,,,,,,,,
130,130,126,902,Back_Hit,819,8,,,,,,,,,,,,,,
131,131,124,902,Back_Hit,819,8,,,,,,,,,,,,,,
132,132,122,902,Back_Hit,819,8,,,,,,,,,,,,,,
133,133,138,902,Back_Hit,819,8,,,,,,,,,,,,,,
134,134,160,902,Back_Hit,819,8,,,,,,,,,,,,,,
135,135,162,902,Back_Hit,819,8,,,,,,,,,,,,,,
136,136,164,902,Back_Hit,819,8,,,,,,,,,,,,,,
137,137,202,902,Back_Hit,819,8,,,,,,,,,,,,,,
138,138,200,902,Back_Hit,819,8,,,,,,,,,,,,,,
139,139,198,902,Back_Hit,819,8,,,,,,,,,,,,,,
140,140,196,902,Back_Hit,819,8,,,,,,,,,,,,,,
141,141,194,902,Back_Hit,819,8,,,,,,,,,,,,,,
142,142,192,902,Back_Hit,819,8,,,,,,,,,,,,,,
143,143,190,902,Back_Hit,819,8,,,,,,,,,,,,,,
144,144,188,902,Back_Hit,819,8,,,,,,,,,,,,,,
145,145,186,902,Back_Hit,819,8,,,,,,,,,,,,,,
146,146,184,902,Back_Hit,819,8,,,,,,,,,,,,,,
147,147,182,902,Back_Hit,819,8,,,,,,,,,,,,,,
148,148,180,902,Back_Hit,819,8,,,,,,,,,,,,,,
149,149,178,902,Back_Hit,819,8,,,,,,,,,,,,,,
150,150,176,902,Back_Hit,819,8,,,,,,,,,,,,,,
151,151,174,902,Back_Hit,819,8,,,,,,,,,,,,,,
152,152,172,902,Back_Hit,819,8,,,,,,,,,,,,,,
153,153,170,902,Back_Hit,819,8,,,,,,,,,,,,,,
154,154,168,902,Back_Hit,819,8,,,,,,,,,,,,,,
155,155,166,902,Back_Hit,819,8,,,,,,,,,,,,,,
156,156,120,902,Back_Hit,819,8,,,,,,,,,,,,,,
157,157,118,902,Back_Hit,819,8,,,,,,,,,,,,,,
158,158,116,902,Back_Hit,819,8,,,,,,,,,,,,,,
159,159,114,902,Back_Hit,819,8,,,,,,,,,,,,,,
160,160,66,902,Back_Hit,819,8,,,,,,,,,,,,,,
161,161,64,902,Back_Hit,819,8,,,,,,,,,,,,,,
162,162,62,902,Back_Hit,819,8,,,,,,,,,,,,,,
163,163,60,902,Back_Hit,819,8,,,,,,,,,,,,,,
164,164,58,902,Back_Hit,819,8,,,,,,,,,,,,,,
165,165,56,902,Back_Hit,819,8,,,,,,,,,,,,,,
166,166,54,902,Back_Hit,819,8,,,,,,,,,,,,,,
167,167,52,902,Back_Hit,819,8,,,,,,,,,,,,,,
168,168,50,902,Back_Hit,819,8,,,,,,,,,,,,,,
169,169,350,902,Back_Hit,819,8,,,,,,,,,,,,,,
170,170,46,902,Back_Hit,819,8,,,,,,,,,,,,,,
171,171,44,902,Back_Hit,819,8,,,,,,,,,,,,,,
172,172,42,902,Back_Hit,819,8,,,,,,,,,,,,,,
173,173,40,902,Back_Hit,819,8,,,,,,,,,,,,,,
174,174,38,902,Back_Hit,819,8,,,,,,,,,,,,,,
175,175,36,902,Back_Hit,819,8,,,,,,,,,,,,,,
176,176,34,902,Back_Hit,819,8,,,,,,,,,,,,,,
177,177,32,902,Back_Hit,819,8,,,,,,,,,,,,,,
178,178,30,902,Back_Hit,819,8,,,,,,,,,,,,,,
179,179,68,902,Back_Hit,819,8,,,,,,,,,,,,,,
180,180,26,902,Back_Hit,819,8,,,,,,,,,,,,,,
181,181,70,902,Back_Hit,819,8,,,,,,,,,,,,,,
182,182,74,902,Back_Hit,819,8,,,,,,,,,,,,,,
183,183,112,902,Back_Hit,819,8,,,,,,,,,,,,,,
184,184,110,902,Back_Hit,819,8,,,,,,,,,,,,,,
185,185,108,902,Back_Hit,819,8,,,,,,,,,,,,,,
186,186,106,902,Back_Hit,819,8,,,,,,,,,,,,,,
187,187,104,902,Back_Hit,819,8,,,,,,,,,,,,,,
188,188,102,902,Back_Hit,819,8,,,,,,,,,,,,,,
189,189,100,902,Back_Hit,819,8,,,,,,,,,,,,,,
190,190,98,902,Back_Hit,819,8,,,,,,,,,,,,,,
191,191,96,902,Back_Hit,819,8,,,,,,,,,,,,,,
192,192,94,902,Back_Hit,819,8,,,,,,,,,,,,,,
193,193,92,902,Back_Hit,819,8,,,,,,,,,,,,,,
194,194,90,902,Back_Hit,819,8,,,,,,,,,,,,,,
195,195,88,902,Back_Hit,819,8,,,,,,,,,,,,,,
196,196,86,902,Back_Hit,819,8,,,,,,,,,,,,,,
197,197,84,902,Back_Hit,819,8,,,,,,,,,,,,,,
198,198,82,902,Back_Hit,819,8,,,,,,,,,,,,,,
199,199,80,902,Back_Hit,819,8,,,,,,,,,,,,,,
200,200,78,902,Back_Hit,819,8,,,,,,,,,,,,,,
201,201,76,902,Back_Hit,819,8,,,,,,,,,,,,,,
202,202,72,902,Back_Hit,819,8,,,,,,,,,,,,,,
203,203,352,902,Back_Hit,819,8,,,,,,,,,,,,,,
204,204,204,902,Back_Hit,819,8,,,,,,,,,,,,,,
205,205,9,1200,Front_Hit,673,453,-1.2650000000000006,2.889999999999999,3.964999999999999,-15.360000000000001,-1.5550000000000002,11.75,1023,223,496,226,282,704,1234,704
206,206,9,1245,Back_Hit,855,147,2.2849999999999993,-19.97,3.0349999999999993,-13.860000000000001,-1.1350000000000007,10.95,1023,225,496,226,282,705,1234,705
207,207,11,1268,Front_Hit,591,457,-2.495,3.0700000000000003,1.5549999999999997,-13.47,-2.265,12.379999999999999,1021,223,496,226,282,705,1234,704
208,208,11,1320,Back_Hit,971,175,4.825,-16.5,3.7649999999999997,-12.49,-2.575,13.52,1021,222,496,226,281,705,1234,704
209,209,13,1348,Front_Hit,637,388,-1.9450000000000003,-0.3500000000000014,4.304999999999999,-12.75,-3.1750000000000003,13.849999999999998,1020,222,496,226,281,702,1234,704
210,210,15,1587,Front_Hit,1178,648,,,,,,,,,,,,,,
211,211,13,1595,Back_Hit,629,68,,,,,,,,,,,,,,
212,212,15,1601,Back_Hit,511,65,,,,,,,,,,,,,,
213,213,17,1655,Front_Hit,174,632,,,,,,,,,,,,,,
214,214,19,1729,Front_Hit,813,612,,,,,,,,,,,,,,
215,215,21,1792,Front_Hit,1069,538,,,,,,,,,,,,,,
216,216,23,1862,Front_Hit,850,449,1.4249999999999998,2.719999999999999,-3.705,-14.96,1.165,11.120000000000001,1020,223,496,228,283,705,1234,704
217,217,17,1882,Back_Hit,645,153,-2.745,-19.29,-3.1950000000000003,-13.690000000000001,0.7249999999999996,10.86,1022,223,498,226,283,705,1234,704
218,218,25,1914,Front_Hit,687,695,-0.8150000000000004,11.61,-1.205,-13.38,-1.4050000000000002,12.66,1021,223,496,225,283,705,1234,705
219,219,27,1996,Front_Hit,324,680,-5.125,11.239999999999998,1.995,-13.17,-3.915,14.43,1021,223,496,226,284,703,1234,705
220,220,19,2050,Back_Hit,996,189,5.2250000000000005,-15.120000000000001,4.065,-12.290000000000001,-2.535,13.96,1023,223,496,226,283,703,1234,705
221,221,29,2086,Front_Hit,309,595,-5.905,8.84,2.6949999999999994,-13.14,-5.175000000000001,13.559999999999999,1022,223,496,226,300,691,1234,705
222,222,21,2162,Back_Hit,600,82,-4.375,-28.72,-1.2750000000000004,-15.39,-4.8950000000000005,11.93,1022,223,496,226,281,711,1234,705
223,223,31,2176,Front_Hit,6,418,,,,,,,,,,,,,,
224,224,23,2313,Back_Hit,977,38,,,,,,,,,,,,,,
225,225,33,2320,Front_Hit,597,367,,,,,,,,,,,,,,
