,index,Frame,HitBounce,X_Ball,Y_Ball
0,0,17,Front_Hit,823,354
1,1,31,Front_Hit,825,368
2,0,71,Front_Bounce,278,330
3,1,74,Front_Bounce,271,331
4,2,84,Front_Bounce,809,537
5,3,87,Front_Bounce,821,531
6,2,92,Front_Hit,849,530
7,0,123,Back_Boucne,937,125
8,0,132,Back_Hit,935,196
9,1,141,Back_Hit,860,151
10,1,141,Back_Boucne,860,151
11,4,152,Front_Bounce,726,296
12,5,161,Front_Bounce,593,519
13,3,172,Front_Hit,464,562
14,2,199,Back_Boucne,694,132
15,2,218,Back_Hit,631,218
16,3,223,Back_Boucne,735,150
17,3,223,Back_Hit,735,150
18,6,244,Front_Bounce,1039,590
19,4,249,Front_Hit,1116,577
20,4,277,Back_Boucne,920,133
21,5,281,Back_Boucne,920,133
22,4,289,Back_Hit,937,209
23,5,289,Back_Hit,929,172
24,6,310,Back_Boucne,766,189
25,6,310,Back_Hit,766,189
26,7,327,Front_Bounce,594,415
27,8,336,Front_Bounce,511,488
28,5,343,Front_Hit,451,505
