,index,Frame,HitBounce,X_Ball,Y_Ball
0,0,17,Front_Hit,823,354
1,1,31,Front_Hit,825,368
2,0,71,Front_Bounce,278,330
3,1,74,Front_Bounce,271,331
4,2,84,Front_Bounce,809,537
5,3,87,Front_Bounce,821,531
6,2,92,Front_Hit,849,530
7,0,123,Back_Bounce,935,196
8,0,132,Back_Hit,937,125
9,1,141,Back_Hit,860,151
10,1,141,Back_Bounce,860,151
11,4,152,Front_Bounce,726,296
12,5,161,Front_Bounce,593,519
13,3,172,Front_Hit,464,562
14,2,199,Back_Bounce,631,218
15,2,218,Back_Hit,694,132
16,3,223,Back_Hit,735,150
17,3,223,Back_Bounce,735,150
18,6,244,Front_Bounce,1039,590
19,4,249,Front_Hit,1116,577
20,4,277,Back_Bounce,937,209
21,5,281,Back_Bounce,929,172
22,5,289,Back_Hit,920,133
23,4,289,Back_Hit,920,133
24,6,310,Back_Bounce,766,189
25,6,310,Back_Hit,766,189
26,7,327,Front_Bounce,594,415
27,8,336,Front_Bounce,511,488
28,5,343,Front_Hit,451,505
29,7,358,Back_Hit,763,286
30,7,358,Back_Bounce,763,286
31,8,385,Back_Bounce,716,339
32,6,390,Front_Hit,705,337
33,8,394,Back_Hit,699,326
34,9,402,Back_Hit,685,345
35,9,402,Back_Bounce,685,345
36,7,438,Front_Hit,626,404
37,8,444,Front_Hit,616,405
38,9,449,Front_Bounce,575,732
39,10,470,Front_Bounce,1123,754
40,9,483,Front_Hit,728,738
41,11,497,Front_Bounce,658,736
42,10,536,Front_Hit,563,733
43,12,582,Front_Bounce,937,728
44,13,594,Front_Bounce,197,357
45,10,683,Back_Bounce,1032,39
46,10,683,Back_Hit,1032,39
47,14,778,Front_Bounce,1411,732
48,11,817,Back_Bounce,664,298
49,11,818,Back_Hit,763,209
50,15,819,Front_Bounce,663,285
51,12,832,Back_Bounce,667,321
52,13,847,Back_Bounce,928,241
53,12,855,Back_Hit,960,145
54,13,855,Back_Hit,960,145
55,14,869,Back_Hit,841,193
56,14,869,Back_Bounce,841,193
57,11,896,Front_Hit,595,417
58,12,916,Front_Hit,685,575
59,16,918,Front_Bounce,381,600
60,17,940,Front_Bounce,88,840
61,13,954,Front_Hit,8,838
62,14,971,Front_Hit,657,525
63,15,991,Front_Hit,667,554
64,18,1006,Front_Bounce,1331,699
65,16,1011,Front_Hit,1231,695
66,19,1013,Front_Bounce,1227,696
67,20,1017,Front_Bounce,1318,699
68,15,1052,Back_Bounce,655,316
69,16,1067,Back_Bounce,928,268
