,index,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback,direction
0,0,1,861.0,12.2,23.47,4.57,-1.97,10.0,23.47,Nishioka,Hit,Fore,Cross
1,1,2,1296.0,5.42,17.15,,,,,Nishioka,Bounce,,Cross
2,2,3,1730.0,9.26,16.21,,,,,Nishioka,Bounce,,Cross
3,3,3,1742.0,13.96,24.5,4.57,-0.04,11.12,24.5,Nishioka,Hit,Fore,Cross
4,4,4,2241.0,2.23,16.56,,,,,Nishioka,Bounce,,Cross
5,5,4,2252.0,-0.77,25.99,6.78,-0.78,0.91,25.99,Nishioka,Hit,Back,Cross
6,6,4,2286.0,2.1,3.2,,,,,Nishioka,Bounce,,Cross
7,7,4,2307.0,2.14,-2.55,3.65,-2.55,4.4,26.28,Nishioka,Hit,Fore,Cross
8,8,4,2333.0,6.97,21.71,,,,,Nishioka,Bounce,,Cross
9,9,4,2343.0,8.34,26.39,4.35,-3.81,7.05,26.39,Nishioka,Hit,Fore,Cross
10,10,4,2368.0,3.46,8.23,,,,,Nishioka,Bounce,,Cross
11,11,4,2389.0,1.43,0.06,2.78,0.06,6.56,25.93,Nishioka,Hit,Fore,Cross
12,12,4,2416.0,7.04,20.76,,,,,Nishioka,Bounce,,Cross
13,13,4,2426.0,8.89,25.72,3.36,-0.67,7.93,25.72,Nishioka,Hit,Fore,Cross
14,14,4,2452.0,8.36,3.77,,,,,Nishioka,Bounce,,Cross
15,15,4,2465.0,8.75,-1.97,7.43,-1.97,6.04,24.53,Nishioka,Hit,Back,Cross
16,16,4,2510.0,5.18,22.52,,,,,Nishioka,Bounce,,Cross
17,17,4,2524.0,4.43,26.16,6.37,-3.23,5.7,26.16,Nishioka,Hit,Back,Cross
18,18,4,2554.0,8.82,2.23,,,,,Nishioka,Bounce,,Cross
19,19,4,2566.0,10.76,-2.09,8.91,-2.09,4.73,25.18,Nishioka,Hit,Back,Cross
20,20,6,3524.0,9.12,16.61,,,,,Nishioka,Bounce,,Cross
21,21,6,3535.0,12.31,23.55,4.82,-1.4,10.18,23.55,Nishioka,Hit,Fore,Cross
22,22,6,3558.0,3.6,5.11,,,,,Nishioka,Bounce,,Cross
23,23,6,3570.0,0.73,-0.93,2.36,-0.93,9.5,22.96,Nishioka,Hit,Fore,Cross
24,24,8,4497.0,4.74,16.65,,,,,Nishioka,Bounce,,Cross
25,25,8,4509.0,3.76,23.97,6.88,-1.35,3.08,23.97,Nishioka,Hit,Fore,Cross
26,26,8,4539.0,7.08,3.02,,,,,Nishioka,Bounce,,Cross
27,27,8,4559.0,8.35,-1.35,7.06,-1.35,5.19,25.72,Nishioka,Hit,Back,Cross
28,28,8,4591.0,5.98,21.79,,,,,Nishioka,Bounce,,Cross
