,index,StartFrame,EndFrame,Set,Game,Score,ScoreResult,FirstSecond,Server,PointWinner,PointWinA,PointWinB,PointPattern,Fault,ContactServeX,ContactServeY,Court1X,Court1Y,Court2X,Court2Y,Court3X,Court3Y,Court4X,Court4Y
0,0,0,444,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
1,1,800,1002,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
2,2,1031,1292,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
3,3,1672,2156,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
4,4,2564,2925,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
5,5,3346,3518,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
6,6,3530,3579,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
7,7,3862,4112,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
8,8,4180,4454,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
9,9,6028,6290,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
10,10,6738,6980,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
11,11,7091,7925,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
12,12,7969,7968,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
13,13,7981,8024,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
14,14,8654,8835,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
15,15,9080,9279,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
16,16,9796,10019,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
17,17,10172,10448,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
18,18,11097,11309,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
19,19,11498,11753,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
20,20,11900,12030,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
21,21,12492,12670,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
22,22,13232,13412,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
23,23,13653,14131,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
24,24,14142,14222,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
25,25,14764,14989,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
26,26,15890,16199,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
27,27,16690,16888,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
28,28,16980,17267,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
29,29,17456,17548,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
30,30,17579,17600,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
31,31,17603,17646,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
32,32,17868,18103,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
33,33,18588,18765,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
34,34,18840,18964,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
35,35,19343,19390,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
36,36,19518,19661,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
37,37,20088,20246,,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
