,StartFrame,EndFrame
0,0.0,678.0
1,1184.0,1413.0
2,1829.0,2150.0
3,2841.0,3008.0
4,3534.0,3648.0
5,4081.0,4223.0
6,7939.0,7939.0
7,7961.0,7962.0
8,7967.0,7968.0
9,7973.0,7974.0
10,7979.0,7980.0
11,7985.0,7987.0
12,7991.0,7992.0
13,7997.0,7998.0
14,8003.0,8004.0
15,8009.0,8010.0
16,8015.0,8016.0
17,8021.0,8022.0
18,8027.0,8028.0
19,8336.0,8351.0
20,8369.0,8369.0
21,8375.0,8376.0
22,8381.0,8382.0
23,8387.0,8388.0
24,8393.0,8394.0
25,8399.0,8400.0
26,8403.0,8406.0
27,8411.0,8412.0
28,8415.0,8419.0
29,8423.0,8424.0
30,8429.0,8430.0
31,8434.0,8436.0
32,8440.0,8442.0
33,8447.0,8448.0
34,8453.0,8454.0
35,8459.0,8460.0
36,8465.0,8467.0
37,8471.0,8472.0
38,8477.0,8478.0
39,8483.0,8484.0
40,8489.0,8491.0
41,8493.0,8496.0
42,8501.0,8515.0
43,8519.0,8520.0
44,8524.0,8545.0
45,8547.0,8563.0
46,8567.0,8868.0
47,9644.0,9774.0
48,11146.0,11155.0
49,11225.0,11226.0
50,11231.0,11232.0
51,11237.0,11238.0
52,11243.0,11244.0
53,11249.0,11250.0
54,11255.0,11256.0
55,11261.0,11262.0
56,11267.0,11268.0
57,11557.0,11580.0
58,11582.0,11582.0
59,11584.0,11584.0
60,11586.0,11586.0
61,11591.0,11592.0
62,11597.0,11598.0
63,11603.0,11604.0
64,11609.0,11610.0
65,11615.0,11616.0
66,11621.0,11622.0
67,11627.0,11628.0
68,11633.0,11635.0
69,11639.0,11640.0
70,11645.0,11652.0
71,11657.0,11658.0
72,11662.0,11665.0
73,11667.0,11683.0
74,11687.0,11689.0
75,11692.0,11713.0
76,11715.0,11726.0
77,11728.0,11731.0
78,11733.0,11800.0
79,12804.0,12982.0
80,13477.0,13583.0
81,14009.0,14120.0
82,15133.0,15674.0
83,16333.0,16394.0
84,19988.0,20206.0
85,20209.0,20212.0
86,20215.0,20218.0
87,20221.0,20254.0
88,20257.0,20283.0
89,20461.0,20489.0
90,20496.0,20583.0
91,20617.0,20623.0
92,20632.0,20639.0
93,20852.0,20854.0
94,20887.0,20891.0
95,20893.0,20895.0
96,20900.0,20902.0
97,20905.0,20908.0
98,20912.0,20914.0
99,20948.0,20950.0
100,20959.0,20961.0
101,25090.0,25200.0
102,25665.0,25764.0
103,26182.0,26592.0
104,27060.0,27159.0
105,31031.0,31145.0
106,31363.0,31515.0
107,32091.0,32260.0
108,32748.0,32882.0
109,33095.0,33300.0
110,33809.0,34037.0
111,34270.0,34272.0
112,34301.0,34305.0
113,34818.0,34821.0
114,34823.0,34951.0
115,40845.0,40847.0
116,40961.0,40961.0
117,52806.0,52810.0
118,66429.0,66434.0
119,66492.0,66492.0
120,66494.0,66494.0
121,66518.0,66518.0
122,66524.0,66524.0
123,66554.0,66554.0
124,66558.0,66558.0
125,66560.0,66560.0
126,66890.0,66890.0
127,66986.0,66986.0
128,66988.0,66988.0
129,66992.0,66992.0
130,66994.0,66994.0
131,66996.0,66996.0
132,67020.0,67022.0
133,67094.0,67094.0
134,67111.0,67112.0
135,67118.0,67118.0
136,67129.0,67132.0
137,67134.0,67138.0
138,67140.0,67142.0
139,67146.0,67147.0
140,71784.0,71784.0
141,71786.0,71786.0
142,71788.0,71788.0
143,71800.0,71800.0
144,71806.0,71806.0
145,71812.0,71812.0
146,71818.0,71819.0
147,71824.0,71831.0
148,71836.0,71836.0
149,71853.0,71856.0
150,71860.0,71862.0
151,71867.0,71869.0
152,71871.0,71871.0
153,71873.0,71873.0
154,71884.0,71884.0
155,71890.0,71890.0
156,71896.0,71896.0
157,71902.0,71902.0
158,71908.0,71908.0
159,71914.0,71914.0
160,71920.0,71920.0
161,71926.0,71926.0
162,71932.0,71956.0
163,71962.0,71962.0
164,71968.0,71968.0
165,71974.0,71975.0
166,72014.0,72014.0
167,72016.0,72018.0
168,72612.0,72612.0
169,72614.0,72617.0
170,72664.0,72664.0
171,72670.0,72670.0
172,72676.0,72676.0
173,72682.0,72682.0
174,72695.0,72695.0
175,72700.0,72700.0
176,72706.0,72706.0
177,72712.0,72712.0
178,72718.0,72718.0
179,73211.0,73211.0
180,73264.0,73264.0
181,73427.0,73427.0
182,73468.0,73468.0
183,73474.0,73474.0
184,73480.0,73480.0
185,73484.0,73484.0
186,73486.0,73487.0
187,73490.0,73493.0
188,73495.0,73511.0
189,73522.0,73559.0
190,73564.0,73564.0
191,73570.0,73570.0
192,73576.0,73576.0
193,73582.0,73593.0
194,73595.0,73617.0
195,73619.0,73629.0
196,73631.0,73632.0
197,73634.0,73644.0
198,73646.0,73646.0
199,73648.0,73648.0
200,73652.0,73655.0
201,73666.0,73667.0
202,73670.0,73703.0
203,73708.0,73722.0
204,73726.0,73726.0
205,73736.0,73741.0
206,73743.0,73743.0
207,73805.0,73805.0
208,73807.0,73807.0
209,74968.0,74968.0
210,75016.0,75016.0
211,75018.0,75018.0
212,75020.0,75025.0
213,75128.0,75128.0
214,75130.0,75130.0
215,75184.0,75184.0
216,83871.0,83871.0
217,83873.0,83873.0
218,83875.0,83887.0
219,83889.0,83967.0
220,84361.0,84448.0
221,84450.0,84454.0
222,84456.0,84526.0
223,84528.0,84559.0
224,84561.0,84561.0
225,84563.0,84565.0
226,84567.0,84567.0
227,84569.0,84569.0
228,84571.0,84571.0
229,84573.0,84573.0
230,84575.0,84613.0
231,84615.0,84658.0
232,84660.0,84670.0
233,84672.0,84676.0
234,84678.0,84682.0
235,84684.0,84688.0
236,84690.0,84694.0
237,84697.0,84709.0
238,84711.0,84721.0
239,84723.0,84727.0
240,84729.0,84729.0
241,84731.0,84731.0
242,84737.0,84737.0
243,84743.0,84745.0
244,84749.0,84749.0
245,84755.0,84757.0
246,84759.0,84775.0
247,84777.0,84779.0
